person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
24.0,0,2,15082.0,0,3,2500.0,3,12.69,0.17,3.0,631,0,1
26.0,1,3,361293.0,5,2,20000.0,3,7.88,0.06,4.0,684,1,0
23.0,1,2,361547.0,0,3,24250.0,1,19.41,0.07,2.0,637,1,0
26.0,1,1,360680.0,5,3,10000.0,6,10.38,0.03,4.0,649,0,0
26.0,1,3,360977.0,5,2,25000.0,1,15.33,0.07,3.0,695,1,0
25.0,0,3,361244.0,2,2,18000.0,6,16.45,0.05,3.0,620,0,0
26.0,1,3,98230.0,2,1,30000.0,4,7.49,0.31,3.0,622,0,1
22.0,0,2,80838.0,0,1,30000.0,2,12.69,0.37,3.0,645,0,1
26.0,1,1,107957.0,2,1,30000.0,5,6.62,0.28,3.0,654,0,1
24.0,0,3,94649.0,2,1,30000.0,5,11.01,0.32,4.0,624,0,1
23.0,1,2,94550.0,1,1,30000.0,5,18.62,0.32,3.0,570,0,1
23.0,1,3,111153.0,3,1,30000.0,4,15.23,0.27,3.0,648,0,1
23.0,0,4,117250.0,0,1,30000.0,3,10.65,0.26,2.0,652,0,1
25.0,1,3,144985.0,3,1,30000.0,1,7.9,0.21,4.0,559,0,0
26.0,1,2,337133.0,7,1,10000.0,4,15.96,0.03,3.0,623,1,0
26.0,1,4,333566.0,2,1,20000.0,3,11.48,0.06,3.0,602,1,0
23.0,1,3,333399.0,1,3,35000.0,4,11.01,0.1,4.0,609,0,0
25.0,1,1,154793.0,1,1,30000.0,4,7.29,0.19,4.0,573,1,0
24.0,1,4,15229.0,1,3,1750.0,3,11.01,0.11,3.0,631,1,0
21.0,0,3,158338.0,0,1,30000.0,3,5.99,0.19,4.0,623,1,0
22.0,0,3,331034.0,0,3,12000.0,3,11.58,0.04,2.0,602,1,0
26.0,0,2,316466.0,6,2,10000.0,1,11.01,0.03,4.0,579,0,1
25.0,0,4,267671.0,0,2,25000.0,2,15.7,0.09,2.0,582,0,1
22.0,1,1,85191.0,0,1,29100.0,1,15.99,0.34,3.0,700,0,1
22.0,1,4,15013.0,0,2,1500.0,1,14.84,0.1,3.0,688,0,0
26.0,1,3,313100.0,3,3,28000.0,6,10.99,0.09,3.0,607,1,0
25.0,0,3,311952.0,0,2,20000.0,6,14.42,0.06,2.0,661,1,0
24.0,1,2,306897.0,5,2,9600.0,1,6.99,0.03,2.0,562,1,0
25.0,0,3,301136.0,0,1,25000.0,2,13.49,0.08,4.0,664,1,0
25.0,1,2,15162.0,1,3,3000.0,2,11.01,0.2,3.0,564,0,1
22.0,1,4,69042.0,0,1,28000.0,2,11.01,0.41,2.0,598,0,1
21.0,0,2,15307.0,0,3,3000.0,1,13.61,0.2,3.0,557,0,1
23.0,0,4,79183.0,0,1,28000.0,1,7.9,0.35,2.0,677,0,1
26.0,1,3,102654.0,4,1,28000.0,3,7.49,0.27,3.0,690,0,1
26.0,1,4,15229.0,1,3,6100.0,1,7.51,0.4,3.0,599,0,1
22.0,1,2,106566.0,0,1,28000.0,3,9.91,0.26,3.0,604,0,1
21.0,0,3,15252.0,0,3,4200.0,4,13.48,0.28,4.0,663,0,1
22.0,1,3,15432.0,3,3,4750.0,5,7.14,0.31,2.0,601,0,1
24.0,1,2,100332.0,1,1,28000.0,3,15.99,0.28,4.0,634,0,1
24.0,1,3,300951.0,2,1,18000.0,1,12.98,0.06,3.0,671,0,0
144.0,1,3,300616.0,125,1,4800.0,3,13.57,0.02,3.0,789,0,0
25.0,0,3,121062.0,1,1,28000.0,5,12.69,0.23,3.0,622,0,0
26.0,1,4,133372.0,1,1,28000.0,1,8.9,0.21,2.0,538,1,0
26.0,1,3,15505.0,0,3,2700.0,5,11.01,0.17,4.0,587,0,1
22.0,1,1,130852.0,0,1,28000.0,1,11.01,0.21,4.0,683,0,1
23.0,1,4,182316.0,0,1,28000.0,5,11.11,0.15,2.0,634,1,0
24.0,0,3,83853.0,3,1,27600.0,6,11.01,0.33,2.0,690,0,1
21.0,0,3,15394.0,0,2,3250.0,5,15.68,0.21,3.0,518,0,1
22.0,0,3,85243.0,0,1,27500.0,1,13.06,0.32,3.0,583,0,1
22.0,1,4,288907.0,2,3,25000.0,4,11.01,0.09,2.0,617,1,0
26.0,1,4,89074.0,4,1,27050.0,3,15.62,0.3,2.0,668,0,1
24.0,1,1,100509.0,2,1,27000.0,4,13.49,0.27,2.0,673,0,1
24.0,1,2,88950.0,3,1,27000.0,3,11.01,0.3,3.0,706,0,1
23.0,0,2,75894.0,1,1,26000.0,2,11.71,0.34,2.0,536,0,1
23.0,1,4,145092.0,0,1,25600.0,1,12.69,0.18,3.0,557,1,0
24.0,0,3,15928.0,1,3,1600.0,2,13.57,0.1,3.0,689,1,0
22.0,1,3,73131.0,3,1,25475.0,3,10.99,0.35,3.0,681,0,1
25.0,1,1,281501.0,4,2,20000.0,2,14.27,0.07,4.0,623,1,0
24.0,0,4,281775.0,0,3,20000.0,6,8.88,0.07,4.0,595,1,0
26.0,1,3,281792.0,1,2,21600.0,6,12.18,0.08,3.0,584,1,0
25.0,1,3,266090.0,4,2,11900.0,5,14.42,0.04,3.0,669,0,1
26.0,1,2,279664.0,3,2,25000.0,2,14.17,0.09,2.0,642,1,0
25.0,0,2,277017.0,4,2,35000.0,2,13.99,0.13,4.0,622,1,0
23.0,1,4,100756.0,0,1,25300.0,1,10.99,0.25,3.0,689,0,1
22.0,1,2,16218.0,1,2,2000.0,4,5.42,0.12,4.0,614,0,1
25.0,0,3,16211.0,2,3,1750.0,4,13.61,0.11,3.0,597,1,0
21.0,0,3,51922.0,3,1,25000.0,1,12.73,0.48,3.0,673,0,1
24.0,1,4,50309.0,3,1,25000.0,6,11.01,0.5,3.0,625,0,1
25.0,1,2,16378.0,0,3,3000.0,5,12.87,0.18,4.0,603,0,1
24.0,1,3,16572.0,0,2,3650.0,6,9.91,0.22,3.0,589,0,1
26.0,1,1,272201.0,5,2,20000.0,6,11.49,0.07,4.0,670,1,0
25.0,0,3,271324.0,3,2,30000.0,6,19.91,0.11,2.0,637,1,0
26.0,1,4,256862.0,2,2,35000.0,1,10.65,0.14,2.0,643,0,1
24.0,1,2,271342.0,0,1,6000.0,2,11.01,0.02,4.0,508,1,0
24.0,1,2,16470.0,2,2,4500.0,5,11.83,0.27,4.0,643,0,1
23.0,1,2,16599.0,0,3,2400.0,5,13.49,0.14,2.0,505,0,1
22.0,1,3,51608.0,0,1,25000.0,2,14.59,0.48,2.0,593,0,1
26.0,0,1,58516.0,6,1,25000.0,1,9.64,0.43,4.0,686,0,1
25.0,0,4,16395.0,4,3,3600.0,2,14.59,0.22,3.0,646,0,1
22.0,0,3,16890.0,0,3,4750.0,1,11.01,0.28,3.0,645,0,1
25.0,0,4,51747.0,3,1,25000.0,1,16.35,0.48,3.0,697,0,1
21.0,1,2,59864.0,0,1,25000.0,1,10.99,0.42,2.0,648,0,1
25.0,1,1,270972.0,1,2,25000.0,3,18.67,0.09,2.0,640,1,0
26.0,1,3,270870.0,5,1,3000.0,1,9.32,0.01,4.0,681,0,0
23.0,0,4,270729.0,0,1,7500.0,5,8.63,0.03,2.0,646,0,0
26.0,1,3,270877.0,4,2,25000.0,3,10.08,0.09,2.0,615,1,0
22.0,1,4,60501.0,0,1,25000.0,4,11.83,0.41,3.0,687,0,1
23.0,1,2,60754.0,1,1,25000.0,5,7.9,0.41,3.0,650,0,1
25.0,1,3,60829.0,0,1,25000.0,6,5.99,0.41,2.0,588,0,1
24.0,1,3,53825.0,2,1,25000.0,5,15.33,0.46,2.0,652,0,1
23.0,1,2,60801.0,0,1,25000.0,3,11.83,0.41,4.0,658,0,1
22.0,1,2,60747.0,0,1,25000.0,3,10.36,0.41,2.0,634,0,1
22.0,0,2,61029.0,0,1,25000.0,3,12.23,0.41,3.0,623,0,1
22.0,0,4,63236.0,0,1,25000.0,1,11.11,0.4,4.0,635,0,1
23.0,0,3,17149.0,0,3,4950.0,5,7.9,0.29,4.0,531,0,1
24.0,0,1,265066.0,4,2,25000.0,1,11.58,0.09,2.0,665,1,0
23.0,1,4,260205.0,2,2,21000.0,5,8.9,0.08,3.0,703,0,0
25.0,0,4,260035.0,5,2,25000.0,1,16.07,0.1,3.0,585,1,0
26.0,0,3,260444.0,4,2,20000.0,1,14.22,0.08,2.0,594,0,0
23.0,1,3,258980.0,0,2,35000.0,2,14.79,0.14,3.0,618,1,0
26.0,1,2,259081.0,2,2,12000.0,1,7.88,0.05,2.0,626,1,0
23.0,1,2,63497.0,0,1,25000.0,4,13.22,0.39,2.0,695,0,1
26.0,0,5,56325.0,2,1,25000.0,5,11.86,0.44,4.0,690,0,1
22.0,1,3,64842.0,0,1,25000.0,1,13.43,0.39,4.0,574,0,1
26.0,0,2,57856.0,0,1,25000.0,6,15.28,0.43,2.0,602,0,1
23.0,1,4,57318.0,0,1,25000.0,3,17.93,0.44,2.0,679,0,1
23.0,0,2,16916.0,2,2,1400.0,1,9.25,0.08,4.0,615,0,0
21.0,1,1,16664.0,0,3,4500.0,3,12.98,0.27,4.0,601,0,1
22.0,1,4,252803.0,0,2,16000.0,3,10.62,0.06,4.0,577,1,0
26.0,0,4,253061.0,3,3,22000.0,4,11.83,0.09,4.0,588,1,0
26.0,1,3,58602.0,8,1,25000.0,3,18.43,0.43,2.0,595,0,1
22.0,1,2,67012.0,2,1,25000.0,1,11.01,0.37,4.0,653,0,1
24.0,0,1,66643.0,3,1,25000.0,6,11.01,0.38,4.0,663,0,1
23.0,1,3,66599.0,0,1,25000.0,1,11.36,0.38,3.0,653,0,1
23.0,1,4,67212.0,2,1,25000.0,1,15.65,0.37,3.0,598,0,1
24.0,0,2,66918.0,1,1,25000.0,4,13.22,0.37,4.0,630,0,1
26.0,1,4,68066.0,2,1,25000.0,5,12.87,0.37,2.0,637,0,1
24.0,1,4,245545.0,1,3,20000.0,2,13.04,0.08,3.0,660,1,0
23.0,1,4,229083.0,0,2,22000.0,1,17.58,0.1,3.0,639,0,1
23.0,1,2,17859.0,0,3,7750.0,4,17.04,0.43,4.0,626,0,1
24.0,0,4,72608.0,3,1,25000.0,4,10.99,0.34,3.0,612,0,1
24.0,1,3,73073.0,1,1,25000.0,4,11.11,0.34,3.0,628,0,1
26.0,0,1,65880.0,2,1,25000.0,5,14.83,0.38,2.0,592,0,1
23.0,1,2,17755.0,1,3,4000.0,5,11.01,0.23,3.0,580,0,1
24.0,1,3,241180.0,3,1,12000.0,2,12.69,0.05,2.0,634,0,0
24.0,1,4,240894.0,3,2,12000.0,6,13.49,0.05,2.0,678,0,0
21.0,1,2,240980.0,0,2,16000.0,1,14.65,0.07,4.0,557,1,0
25.0,1,3,65742.0,3,1,25000.0,6,16.82,0.38,4.0,672,0,1
23.0,1,3,72713.0,0,1,25000.0,4,12.73,0.34,3.0,613,0,1
23.0,1,2,72627.0,3,1,25000.0,4,10.25,0.34,4.0,566,0,1
21.0,1,4,72843.0,0,1,25000.0,1,10.99,0.34,4.0,718,0,1
25.0,1,2,75504.0,4,1,25000.0,2,12.73,0.33,2.0,484,0,1
22.0,0,2,68824.0,0,1,25000.0,6,14.96,0.36,3.0,634,0,1
23.0,0,3,241167.0,2,2,28000.0,1,11.01,0.12,2.0,653,1,0
21.0,1,3,241060.0,0,2,25000.0,5,13.99,0.1,2.0,699,0,0
24.0,1,2,240855.0,0,2,24000.0,3,7.49,0.1,4.0,656,1,0
26.0,1,2,241030.0,3,2,15000.0,1,14.79,0.06,3.0,626,1,0
25.0,1,2,240895.0,2,2,15500.0,5,11.99,0.06,2.0,659,0,0
24.0,0,2,240932.0,4,1,10000.0,1,8.49,0.04,4.0,604,1,0
24.0,1,4,80145.0,1,1,25000.0,1,9.91,0.31,2.0,636,0,1
22.0,1,1,80303.0,0,1,25000.0,1,13.06,0.31,3.0,554,0,1
22.0,1,2,241048.0,0,2,9000.0,5,6.17,0.04,4.0,587,1,0
144.0,1,4,241424.0,121,2,6000.0,1,11.86,0.02,2.0,807,0,0
25.0,1,3,241005.0,4,1,18000.0,1,16.32,0.07,3.0,708,1,0
25.0,0,1,240768.0,2,2,12000.0,3,10.38,0.05,2.0,669,1,0
25.0,1,4,241201.0,2,2,23050.0,4,14.35,0.1,3.0,578,0,0
24.0,1,3,240920.0,5,2,20000.0,5,11.01,0.08,3.0,615,0,0
24.0,0,1,72919.0,1,1,25000.0,5,11.01,0.34,2.0,553,0,1
21.0,1,1,18008.0,0,3,3000.0,6,11.01,0.17,4.0,635,0,1
26.0,0,4,81238.0,3,1,25000.0,4,15.21,0.31,2.0,531,0,1
23.0,1,2,80868.0,1,1,25000.0,1,7.9,0.31,4.0,621,0,1
24.0,1,3,81537.0,1,1,25000.0,3,10.99,0.31,3.0,674,0,1
24.0,0,4,82741.0,0,1,25000.0,4,14.09,0.3,3.0,688,0,1
25.0,0,2,83901.0,3,1,25000.0,4,17.49,0.3,2.0,597,0,1
25.0,1,4,240717.0,1,2,12000.0,1,11.48,0.05,3.0,640,0,0
26.0,0,4,226744.0,0,2,20000.0,3,17.74,0.09,2.0,621,0,1
26.0,0,3,241114.0,5,2,3000.0,4,13.92,0.01,3.0,608,1,0
25.0,1,3,85284.0,3,1,25000.0,1,15.21,0.29,3.0,653,0,1
22.0,0,3,18152.0,0,3,4000.0,2,10.99,0.22,3.0,585,0,1
24.0,0,2,84871.0,3,1,25000.0,1,11.86,0.29,4.0,569,0,1
24.0,1,3,18294.0,2,3,6000.0,4,7.49,0.33,3.0,587,0,1
24.0,1,3,68029.0,1,1,25000.0,2,16.49,0.37,4.0,631,0,1
25.0,0,2,80001.0,4,1,25000.0,3,15.33,0.31,2.0,592,0,1
26.0,0,2,79875.0,6,1,25000.0,6,11.58,0.31,4.0,679,0,1
25.0,1,2,18449.0,1,3,5375.0,1,5.79,0.29,2.0,645,0,1
25.0,1,4,88153.0,0,1,25000.0,2,13.11,0.28,2.0,669,0,1
23.0,0,3,90109.0,0,1,25000.0,2,10.36,0.28,3.0,653,0,1
25.0,1,3,90938.0,1,1,25000.0,5,10.36,0.27,2.0,577,0,1
24.0,1,2,231335.0,0,1,22000.0,2,11.01,0.1,2.0,668,1,0
21.0,1,3,231829.0,0,2,20000.0,3,6.54,0.09,4.0,629,0,0
25.0,0,4,230516.0,4,2,10000.0,2,12.53,0.04,4.0,643,0,0
26.0,1,3,229626.0,0,2,15000.0,4,11.01,0.07,3.0,626,0,0
22.0,1,3,228907.0,0,2,10000.0,3,11.01,0.04,3.0,560,1,0
24.0,1,3,90938.0,0,1,25000.0,1,10.25,0.27,4.0,648,0,1
22.0,1,4,86284.0,0,1,25000.0,1,15.95,0.29,4.0,648,0,1
26.0,1,4,228774.0,3,2,20000.0,3,12.18,0.09,4.0,669,1,0
23.0,1,2,229027.0,2,3,24000.0,4,11.83,0.1,3.0,536,1,0
23.0,1,2,94789.0,1,1,25000.0,5,11.01,0.26,2.0,548,0,1
23.0,0,1,94780.0,0,1,25000.0,3,10.62,0.26,3.0,667,0,1
23.0,1,2,95298.0,0,1,25000.0,3,10.74,0.26,3.0,676,0,1
25.0,1,4,223944.0,1,3,10000.0,3,10.25,0.04,4.0,570,1,0
24.0,1,2,222629.0,0,2,35000.0,1,12.42,0.16,2.0,623,0,0
25.0,0,3,222973.0,2,1,15000.0,3,15.27,0.07,2.0,652,1,0
24.0,0,2,75240.0,1,1,25000.0,2,15.33,0.33,2.0,625,0,1
23.0,0,2,96143.0,1,1,25000.0,3,15.21,0.26,2.0,642,0,1
21.0,1,3,18064.0,0,3,6250.0,3,14.72,0.35,2.0,580,0,1
24.0,1,4,96627.0,2,1,25000.0,4,15.7,0.26,2.0,622,0,1
24.0,1,3,96309.0,3,1,25000.0,1,13.35,0.26,4.0,581,0,1
21.0,0,2,18421.0,1,2,1500.0,2,11.01,0.08,4.0,623,0,0
24.0,1,1,96836.0,1,1,25000.0,1,6.62,0.26,2.0,583,0,1
26.0,1,3,96947.0,4,1,25000.0,5,13.61,0.26,4.0,645,0,1
22.0,0,4,222975.0,2,1,25000.0,2,11.36,0.11,2.0,593,1,0
26.0,1,4,222985.0,3,3,5000.0,4,7.68,0.02,2.0,659,1,0
24.0,0,3,223064.0,0,1,22000.0,6,14.46,0.1,4.0,655,1,0
23.0,1,4,221559.0,2,3,2500.0,1,11.83,0.01,2.0,583,1,0
24.0,0,4,207712.0,0,2,20000.0,5,13.47,0.1,4.0,582,0,1
24.0,0,3,220872.0,1,2,20000.0,2,11.49,0.09,3.0,504,1,0
22.0,1,2,220518.0,0,2,1000.0,1,11.01,0.0,2.0,551,1,0
25.0,0,4,220510.0,1,2,15000.0,4,6.03,0.07,3.0,529,1,0
23.0,0,3,89818.0,0,1,25000.0,5,16.35,0.28,4.0,674,0,1
26.0,0,2,90006.0,4,1,25000.0,5,11.01,0.28,4.0,595,0,1
25.0,0,2,98704.0,6,1,25000.0,5,7.29,0.25,3.0,597,0,1
23.0,1,2,98967.0,5,1,25000.0,2,11.36,0.25,3.0,566,0,1
24.0,1,2,99435.0,3,1,25000.0,3,10.25,0.25,2.0,666,0,0
24.0,0,3,100658.0,1,1,25000.0,1,11.12,0.25,3.0,695,0,0
24.0,0,3,100435.0,2,1,25000.0,4,12.92,0.25,3.0,576,1,0
24.0,1,2,216925.0,5,1,18000.0,1,18.64,0.08,4.0,651,1,0
23.0,0,3,216891.0,0,2,28000.0,4,7.51,0.13,3.0,633,1,0
23.0,1,1,18512.0,1,3,4000.0,6,16.7,0.22,2.0,566,0,1
22.0,1,1,18367.0,0,3,2100.0,4,11.14,0.11,4.0,583,0,0
22.0,0,4,102317.0,0,1,25000.0,4,18.3,0.24,4.0,586,1,0
24.0,0,4,103400.0,4,1,25000.0,2,10.62,0.24,4.0,592,1,0
24.0,1,3,217134.0,2,2,14000.0,3,11.99,0.06,2.0,598,1,0
26.0,1,1,217024.0,1,2,12000.0,3,9.63,0.06,4.0,637,1,0
25.0,0,2,172215.0,5,2,10000.0,2,18.25,0.06,4.0,628,0,1
23.0,1,1,18831.0,0,2,6000.0,5,11.01,0.32,4.0,667,0,1
24.0,1,4,105349.0,5,1,25000.0,6,14.84,0.24,3.0,621,1,0
24.0,1,3,91184.0,1,1,25000.0,3,14.7,0.27,3.0,668,0,1
23.0,0,2,91886.0,1,1,25000.0,5,16.02,0.27,4.0,544,0,1
23.0,1,4,80452.0,2,1,25000.0,2,15.37,0.31,2.0,699,0,1
25.0,0,3,108758.0,2,1,25000.0,2,10.99,0.23,4.0,611,0,0
21.0,1,4,18916.0,0,3,6200.0,6,7.9,0.33,2.0,615,0,1
26.0,0,2,217234.0,5,3,25000.0,4,10.99,0.12,4.0,559,1,0
24.0,0,2,217017.0,0,3,21000.0,1,11.48,0.1,3.0,577,1,0
25.0,1,2,216874.0,1,3,20000.0,2,14.26,0.09,4.0,657,1,0
26.0,1,4,216833.0,5,3,10000.0,6,8.0,0.05,4.0,676,1,0
25.0,1,3,216483.0,0,2,9950.0,3,11.26,0.05,2.0,601,0,0
23.0,0,1,19000.0,2,3,4475.0,2,11.01,0.24,4.0,647,0,1
23.0,0,1,94363.0,0,1,25000.0,3,16.32,0.26,3.0,576,0,1
25.0,1,1,80570.0,3,1,25000.0,2,17.93,0.31,4.0,612,0,1
23.0,1,3,109167.0,0,1,25000.0,5,11.36,0.23,3.0,678,0,0
24.0,0,4,95753.0,1,1,25000.0,5,14.96,0.26,4.0,542,0,1
24.0,0,4,110935.0,1,1,25000.0,4,13.43,0.23,3.0,709,1,0
25.0,1,4,111490.0,2,1,25000.0,6,12.69,0.22,3.0,622,1,0
24.0,1,4,111729.0,4,1,25000.0,3,12.73,0.22,4.0,642,1,0
23.0,0,2,113396.0,0,1,25000.0,3,15.21,0.22,4.0,660,0,0
23.0,0,3,19175.0,1,2,1750.0,2,12.68,0.09,3.0,587,1,0
23.0,0,2,85787.0,0,1,25000.0,2,19.04,0.29,4.0,646,0,1
25.0,0,1,102114.0,7,1,25000.0,5,15.95,0.24,3.0,637,0,1
26.0,1,3,211005.0,5,2,2600.0,3,8.9,0.01,4.0,718,0,0
25.0,1,1,210903.0,4,2,8000.0,6,7.9,0.04,2.0,588,1,0
22.0,1,4,210555.0,0,2,18000.0,1,11.01,0.09,2.0,652,0,0
23.0,1,3,210937.0,0,2,21000.0,4,11.99,0.1,3.0,620,1,0
23.0,1,2,19062.0,2,3,4000.0,5,13.98,0.21,4.0,667,0,1
23.0,0,4,18926.0,0,3,4600.0,3,10.99,0.24,2.0,688,0,1
22.0,1,4,106694.0,0,1,25000.0,5,15.58,0.23,2.0,667,0,1
25.0,1,1,90718.0,4,1,25000.0,2,10.99,0.28,2.0,692,0,1
25.0,1,3,106668.0,1,1,25000.0,3,14.96,0.23,4.0,562,0,1
25.0,1,2,19158.0,4,3,1750.0,6,15.31,0.09,4.0,625,1,0
26.0,1,2,106419.0,5,1,25000.0,3,15.65,0.23,3.0,649,0,1
25.0,0,2,120696.0,3,1,25000.0,3,9.33,0.21,4.0,545,1,0
23.0,1,2,19065.0,3,2,3600.0,4,13.47,0.19,4.0,540,0,1
24.0,0,4,124083.0,0,1,25000.0,4,10.36,0.2,3.0,637,1,0
24.0,1,4,111673.0,4,1,25000.0,6,16.77,0.22,4.0,600,0,1
23.0,1,2,112633.0,1,1,25000.0,5,14.59,0.22,2.0,633,0,1
22.0,1,2,210938.0,0,1,3500.0,3,11.91,0.02,2.0,588,0,0
23.0,0,4,210720.0,2,2,7200.0,1,8.38,0.03,3.0,624,1,0
25.0,1,2,210705.0,7,1,9000.0,3,10.59,0.04,3.0,525,1,0
25.0,1,2,209997.0,3,2,8800.0,5,14.27,0.04,3.0,616,1,0
26.0,0,1,209873.0,3,1,12000.0,5,12.53,0.06,4.0,675,0,0
25.0,0,4,195268.0,1,2,25000.0,5,16.0,0.13,3.0,662,0,1
26.0,1,1,209393.0,2,2,10000.0,3,11.71,0.05,4.0,585,1,0
21.0,1,1,18773.0,0,3,3175.0,6,11.54,0.17,3.0,686,0,1
25.0,0,3,116439.0,2,1,25000.0,6,15.68,0.21,4.0,595,0,1
21.0,0,4,19169.0,2,2,1500.0,1,10.59,0.08,2.0,537,1,0
24.0,0,2,118417.0,0,1,25000.0,6,12.61,0.21,2.0,625,0,1
26.0,0,2,133476.0,0,1,25000.0,4,11.01,0.19,2.0,641,1,0
23.0,0,4,19312.0,4,2,2800.0,4,8.49,0.14,3.0,661,0,1
25.0,1,2,192351.0,1,1,30000.0,4,17.27,0.16,4.0,577,0,1
24.0,1,3,206648.0,4,1,18000.0,5,8.9,0.09,4.0,537,1,0
25.0,0,2,205046.0,6,2,10000.0,2,11.11,0.05,4.0,646,1,0
24.0,1,2,190735.0,1,1,25000.0,6,14.59,0.13,2.0,653,0,1
26.0,0,4,204872.0,3,1,13000.0,3,12.42,0.06,3.0,654,0,0
24.0,1,4,100758.0,0,1,25000.0,2,11.01,0.25,2.0,635,0,1
24.0,0,1,133231.0,3,1,25000.0,6,15.7,0.19,2.0,675,1,0
22.0,0,1,18923.0,0,3,2500.0,6,12.53,0.13,3.0,618,0,1
25.0,0,1,161894.0,0,1,5000.0,2,16.49,0.03,2.0,609,0,1
25.0,0,3,205144.0,0,2,20000.0,1,7.49,0.1,2.0,545,1,0
22.0,0,2,121617.0,2,1,25000.0,5,14.96,0.21,2.0,629,0,1
25.0,1,4,136206.0,6,1,25000.0,2,12.73,0.18,4.0,539,0,0
24.0,1,1,144915.0,4,1,25000.0,1,10.65,0.17,4.0,593,1,0
25.0,0,2,145233.0,3,1,25000.0,2,10.74,0.17,2.0,683,0,0
23.0,1,3,145002.0,1,1,25000.0,1,9.99,0.17,2.0,670,1,0
24.0,1,1,110953.0,0,1,25000.0,2,15.33,0.23,2.0,662,0,1
21.0,0,2,19414.0,2,3,1000.0,3,7.29,0.05,4.0,681,1,0
26.0,1,2,130096.0,1,1,25000.0,4,15.05,0.19,3.0,636,0,1
26.0,1,1,157292.0,0,1,25000.0,4,10.75,0.16,3.0,677,1,0
